celltype_raw,celltype_id,sample,study,n_counts,n_genes,celltype_name,doublet_score,pred_dbl,Disease,query_group,query,method,rank,score,item_id
Myofibroblast,CL:0000186,DS000011735-GSM4058965,DS000011735,3874.292724609375,3926,myofibroblast cell,0.017006520181894302,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,faiss-pq-m8-nbits8,5,1.0172958374023438,cell-36291
Myofibroblast,CL:0000186,DS000011735-GSM4058968,DS000011735,3338.7626953125,2941,myofibroblast cell,0.01593240164220333,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,faiss-pq-m8-nbits8,6,1.0163064002990723,cell-22143
Myofibroblast,CL:0000186,DS000011735-GSM4058948,DS000011735,4107.17822265625,4407,myofibroblast cell,0.027987001463770866,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,faiss-pq-m8-nbits8,7,1.0151655673980713,cell-34676
Myofibroblast,CL:0000186,DS000011735-GSM4058912,DS000011735,3112.229736328125,2099,myofibroblast cell,0.0603536032140255,False,healthy,healthy::myofibroblast cell,IPF myofibroblast centroid,faiss-pq-m8-nbits8,8,1.014697551727295,cell-4062
Myofibroblast,CL:0000186,DS000011735-GSM4058959,DS000011735,3854.2265625,3683,myofibroblast cell,0.045470401644706726,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,faiss-pq-m8-nbits8,9,1.014607548713684,cell-20105
Myofibroblast,CL:0000186,DS000011735-GSM4058969,DS000011735,3832.1865234375,3549,myofibroblast cell,0.031101258471608162,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,faiss-pq-m8-nbits8,10,1.0135467052459717,cell-5036
Myofibroblast,CL:0000186,DS000011735-GSM4058965,DS000011735,3639.88525390625,3582,myofibroblast cell,0.02272382378578186,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,hnswlib-cosine,1,0.9930486083030701,cell-45761
Myofibroblast,CL:0000186,DS000011735-GSM4058966,DS000011735,3317.873291015625,2465,myofibroblast cell,0.012435315176844597,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,hnswlib-cosine,2,0.9925168752670288,cell-36812
Myofibroblast,CL:0000186,DS000011735-GSM4058959,DS000011735,3136.9453125,2178,myofibroblast cell,0.02688712067902088,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,hnswlib-cosine,3,0.9915441274642944,cell-8143
Myofibroblast,CL:0000186,DS000011735-GSM4058959,DS000011735,3365.392822265625,2565,myofibroblast cell,0.13452260196208954,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,hnswlib-cosine,4,0.9905595183372498,cell-38247
Myofibroblast,CL:0000186,DS000011735-GSM4058967,DS000011735,3816.3984375,3439,myofibroblast cell,0.02442614734172821,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,hnswlib-cosine,5,0.9904184937477112,cell-39922
Myofibroblast,CL:0000186,DS000011735-GSM4058951,DS000011735,2823.35107421875,1616,myofibroblast cell,0.04003108665347099,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,hnswlib-cosine,6,0.9903653860092163,cell-25642
Myofibroblast,CL:0000186,DS000011735-GSM4058966,DS000011735,3414.177978515625,2720,myofibroblast cell,0.027145087718963623,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,hnswlib-cosine,7,0.9902703762054443,cell-40466
Myofibroblast,CL:0000186,DS000011735-GSM4058958,DS000011735,2520.435302734375,1241,myofibroblast cell,0.07648591697216034,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,hnswlib-cosine,8,0.9902617931365967,cell-49321
Myofibroblast,CL:0000186,DS000011735-GSM4058970,DS000011735,2789.89599609375,1619,myofibroblast cell,0.04801020398736,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,hnswlib-cosine,9,0.9902445077896118,cell-35204
Myofibroblast,CL:0000186,DS000011735-GSM4058970,DS000011735,2736.68212890625,1505,myofibroblast cell,0.02042905054986477,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,hnswlib-cosine,10,0.9901535511016846,cell-34471
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058966,DS000011735,2851.518310546875,2391,alveolar macrophage,0.016806963831186295,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,exact,1,0.9988961815834045,cell-34322
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058967,DS000011735,3124.434326171875,2404,alveolar macrophage,0.0308998916298151,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,exact,2,0.9988834261894226,cell-31833
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058968,DS000011735,2868.09423828125,2527,alveolar macrophage,0.05316321924328804,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,exact,3,0.9988678693771362,cell-9656
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058964,DS000011735,3285.0361328125,3128,alveolar macrophage,0.06679758429527283,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,exact,4,0.9988425970077515,cell-21775
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058959,DS000011735,3318.58642578125,3607,alveolar macrophage,0.1423642784357071,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,exact,5,0.998788595199585,cell-13485
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058934,DS000011735,3165.457763671875,3307,alveolar macrophage,0.03194548562169075,False,COPD,COPD::alveolar macrophage,IPF alveolar macrophage centroid,exact,6,0.9987332224845886,cell-629
Macrophage,CL:0000235,DS000011735-GSM4058912,DS000011735,3218.71240234375,2809,macrophage,0.043050769716501236,False,healthy,healthy::macrophage,IPF alveolar macrophage centroid,exact,7,0.9987170100212097,cell-38120
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058959,DS000011735,3321.32861328125,3370,alveolar macrophage,0.09111630171537399,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,exact,8,0.9986338019371033,cell-24946
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058900,DS000011735,3256.235107421875,3349,alveolar macrophage,0.03042290359735489,False,healthy,healthy::alveolar macrophage,IPF alveolar macrophage centroid,exact,9,0.9986220002174377,cell-4861
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058959,DS000011735,2967.7607421875,2604,alveolar macrophage,0.06858399510383606,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,exact,10,0.998564600944519,cell-2491
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058966,DS000011735,2851.518310546875,2391,alveolar macrophage,0.016806963831186295,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b2,1,0.9988961815834045,cell-34322
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058967,DS000011735,3124.434326171875,2404,alveolar macrophage,0.0308998916298151,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b2,2,0.9988834261894226,cell-31833
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058968,DS000011735,2868.09423828125,2527,alveolar macrophage,0.05316321924328804,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b2,3,0.9988678693771362,cell-9656
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058964,DS000011735,3285.0361328125,3128,alveolar macrophage,0.06679758429527283,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b2,4,0.9988425970077515,cell-21775
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058959,DS000011735,2967.7607421875,2604,alveolar macrophage,0.06858399510383606,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b2,5,0.998564600944519,cell-2491
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058928,DS000011735,3131.568603515625,2497,alveolar macrophage,0.044395528733730316,False,COPD,COPD::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b2,6,0.9984865784645081,cell-22163
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058963,DS000011735,3197.254150390625,2942,alveolar macrophage,0.06232031434774399,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b2,7,0.9984853267669678,cell-46706
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058964,DS000011735,3085.1025390625,3080,alveolar macrophage,0.01957782544195652,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b2,8,0.9984705448150635,cell-7018
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058909,DS000011735,2969.734619140625,2055,alveolar macrophage,0.0060185836628079414,False,healthy,healthy::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b2,9,0.9984509348869324,cell-13641
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058934,DS000011735,3144.69921875,4128,alveolar macrophage,0.04248828440904617,False,COPD,COPD::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b2,10,0.9984501600265503,cell-46180
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058966,DS000011735,2851.518310546875,2391,alveolar macrophage,0.016806963831186295,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b3,1,0.9988961815834045,cell-34322
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058967,DS000011735,3124.434326171875,2404,alveolar macrophage,0.0308998916298151,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b3,2,0.9988834261894226,cell-31833
